lucode,LCCOwnLabel,R,G,B,usle_c,usle_p
0,No data,0,0,0,0.5,1
10,Cropland: rainfed,255,255,100,0.5,1
11,Herbaceous cover,255,255,100,0.5,1
12,Tree or shrub cover,255,255,0,0.5,1
20,Cropland: irrigated or post-flooding,170,240,240,0.5,1
30,Mosaic cropland (>50%) / natural vegetation (tree: shrub: herbaceous cover) (<50%),220,240,100,0.5,1
40,Mosaic natural vegetation (tree: shrub: herbaceous cover) (>50%) / cropland (<50%) ,200,200,100,0.5,1
50,Tree cover: broadleaved: evergreen: closed to open (>15%),0,100,0,0.5,1
60,Tree cover: broadleaved: deciduous: closed to open (>15%),0,160,0,0.5,1
61,Tree cover: broadleaved: deciduous: closed (>40%),0,160,0,0.5,1
62,Tree cover: broadleaved: deciduous: open (15-40%),170,200,0,0.5,1
70,Tree cover: needleleaved: evergreen: closed to open (>15%),0,60,0,0.5,1
71,Tree cover: needleleaved: evergreen: closed (>40%),0,60,0,0.5,1
72,Tree cover: needleleaved: evergreen: open (15-40%),0,80,0,0.5,1
80,Tree cover: needleleaved: deciduous: closed to open (>15%),40,80,0,0.5,1
81,Tree cover: needleleaved: deciduous: closed (>40%),40,80,0,0.5,1
82,Tree cover: needleleaved: deciduous: open (15-40%),40,100,0,0.5,1
90,Tree cover: mixed leaf type (broadleaved and needleleaved),120,130,0,0.5,1
100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),140,160,0,0.5,1
110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),190,150,0,0.5,1
120,Shrubland,150,100,0,0.5,1
121,Shrubland evergreen,120,75,0,0.5,1
122,Shrubland deciduous,150,100,0,0.5,1
130,Grassland,255,180,50,0.5,1
140,Lichens and mosses,255,220,210,0.5,1
150,Sparse vegetation (tree: shrub: herbaceous cover) (<15%),255,235,175,0.5,1
151,Sparse tree (<15%),255,200,100,0.5,1
152,Sparse shrub (<15%),255,210,120,0.5,1
153,Sparse herbaceous cover (<15%),255,235,175,0.5,1
160,Tree cover: flooded: fresh or brakish water,0,120,90,0.5,1
170,Tree cover: flooded: saline water,0,150,120,0.5,1
180,Shrub or herbaceous cover: flooded: fresh/saline/brakish water,0,220,130,0.5,1
190,Urban areas,195,20,0,0.5,1
200,Bare areas,255,245,215,0.5,1
201,Consolidated bare areas,220,220,220,0.5,1
202,Unconsolidated bare areas,255,245,215,0.5,1
210,Water bodies,0,70,200,0.5,1
220,Permanent snow and ice,255,255,255,0.5,1
